index,Actual value,Predicted value,humidities,temperature,color,H2S
1,2.1,7.94782823523505,15.98681818181818,9.400909090909094,midnightblue,0.0
2,2.1,-0.09574765703689536,15.59454545454545,9.382272727272726,midnightblue,0.0
3,6.0,4.790203605541713,15.38954545454545,9.360000000000003,midnightblue,0.0
4,29.0,28.002217634029794,15.26999999999999,9.354090909090907,midnightblue,0.0
5,52.0,42.604784848435244,15.18136363636364,9.349999999999998,midnightblue,0.0
6,71.0,61.946686497924475,15.10304347826087,9.35086956521739,midnightblue,0.0
7,210.0,234.6677475804222,15.02590909090909,9.349999999999998,midnightblue,0.0
8,345.0,362.33108252616785,14.94409090909091,9.34681818181818,midnightblue,0.0
9,480.0,486.82938959014837,14.96454545454546,9.354090909090912,midnightblue,0.0
10,615.0,612.9484568249061,14.97954545454546,9.362727272727277,midnightblue,0.0
11,750.0,841.9250846106634,14.97454545454546,9.383636363636363,midnightblue,0.0
12,1670.0,1767.7375767037533,14.98863636363636,9.384090909090908,midnightblue,0.0
13,2590.0,2665.2776427245667,14.97363636363637,9.388181818181817,midnightblue,0.0
14,3510.0,3533.08634540411,14.97363636363637,9.388181818181817,midnightblue,0.0
15,2.1,35.8580928554335,15.57545454545454,9.360000000000003,midnightblue,0.0
16,6.0,30.181248838228644,15.69545454545455,9.363636363636363,midnightblue,0.0
17,29.0,40.2731319452838,15.86428571428572,9.353333333333332,midnightblue,0.0
18,52.0,46.83759497944134,15.82619047619047,9.35142857142857,midnightblue,0.0
19,71.0,96.22048276596911,15.76333333333333,9.349999999999998,midnightblue,0.0
20,210.0,270.9258569713852,15.74227272727273,9.349999999999998,midnightblue,0.0
21,345.0,386.1127139453031,15.74,9.348260869565216,midnightblue,0.0
22,480.0,514.3321496901117,15.51227272727273,9.357727272727276,midnightblue,0.0
23,615.0,612.042724901693,15.32142857142857,9.349999999999998,midnightblue,0.0
24,750.0,821.024849273799,15.45272727272728,9.344545454545456,midnightblue,0.0
25,1670.0,1735.5583399218854,15.54454545454545,9.349999999999998,midnightblue,0.0
26,2590.0,2635.1420674563115,15.57523809523809,9.372380952380954,midnightblue,0.0
27,3510.0,3506.8664223493297,15.60818181818182,9.389545454545452,midnightblue,0.0
28,2.1,-3.312453565911092,53.63428571428572,9.389999999999997,midnightblue,0.0
29,6.0,-3.76254693575806,55.83727272727272,9.395454545454543,midnightblue,0.0
30,29.0,23.15353135419652,57.56772727272728,9.433181818181817,midnightblue,0.0
31,52.0,40.6035406338098,58.65681818181818,9.379090909090907,midnightblue,0.0
32,71.0,-21.85924306137872,58.99090909090909,9.369090909090913,midnightblue,0.0
33,210.0,160.24149095742473,60.45,9.357727272727276,midnightblue,0.0
34,345.0,267.6137127263571,61.88000000000001,9.349999999999998,midnightblue,0.0
35,480.0,422.87687287126414,59.0840909090909,9.383181818181816,midnightblue,0.0
36,615.0,538.4316243425619,59.3795652173913,9.389999999999997,midnightblue,0.0
37,750.0,608.3160808645264,59.76227272727274,9.389999999999997,midnightblue,0.0
38,1670.0,1505.7312575782921,60.50545454545455,9.392272727272728,midnightblue,0.0
39,2590.0,2402.2665403822507,60.60863636363637,9.392272727272728,midnightblue,0.0
40,3510.0,3242.3849500509377,60.53260869565215,9.399565217391306,midnightblue,0.0
41,2.1,15.282014939271832,19.66545454545455,9.360000000000003,midnightblue,0.0
42,6.0,11.884046067302691,18.17363636363636,9.389999999999997,midnightblue,0.0
43,29.0,34.028876151716,17.58454545454546,9.389999999999997,midnightblue,0.0
44,52.0,50.70411394831498,17.22681818181818,9.399545454545455,midnightblue,0.0
45,71.0,119.90280840545415,16.96333333333333,9.41238095238095,midnightblue,0.0
46,210.0,267.3590366680244,16.70727272727273,9.417272727272726,midnightblue,0.0
47,345.0,381.73509547965864,16.55909090909091,9.400000000000002,midnightblue,0.0
48,480.0,526.5832186719178,16.55545454545455,9.437272727272727,midnightblue,0.0
49,615.0,637.2376997915192,16.52363636363636,9.446363636363637,midnightblue,0.0
50,750.0,888.426035381302,16.52454545454545,9.468636363636364,midnightblue,0.0
51,1670.0,1823.0700110489975,16.28,9.463913043478263,midnightblue,0.0
52,2590.0,2711.4711636498428,16.00318181818182,9.460000000000003,midnightblue,0.0
53,3510.0,3582.5198132971145,15.74818181818182,9.460454545454546,midnightblue,0.0
54,2.1,14.832859096291209,16.20363636363636,9.435909090909092,midnightblue,0.0
55,6.0,18.366099557251953,16.30086956521739,9.401739130434784,midnightblue,0.0
56,29.0,41.79999716588091,16.29545454545455,9.392272727272724,midnightblue,0.0
57,52.0,57.062244531458276,16.2885,9.389999999999997,midnightblue,0.0
58,71.0,130.37102511545004,16.22590909090909,9.395000000000001,midnightblue,0.0
59,210.0,279.17552658168734,16.27772727272727,9.389999999999997,midnightblue,0.0
60,345.0,396.70982684285923,16.45863636363637,9.385909090909088,midnightblue,0.0
61,480.0,547.0893065441398,16.32590909090909,9.429545454545456,midnightblue,0.0
62,615.0,673.5780411739192,16.31545454545455,9.428636363636366,midnightblue,0.0
63,750.0,853.9492568655935,16.48818181818181,9.430000000000001,midnightblue,0.0
64,1670.0,1806.7901795124626,16.41227272727273,9.43590909090909,midnightblue,0.0
65,2590.0,2712.14372207551,16.43904761904762,9.460000000000003,midnightblue,0.0
66,3510.0,3541.486201226837,16.47318181818181,9.469090909090909,midnightblue,0.0
67,2.1,-0.6500253169255643,51.70136363636365,9.463636363636367,midnightblue,0.0
68,6.0,3.00713141445398,53.18727272727273,9.432727272727272,midnightblue,0.0
69,29.0,33.125867505617265,54.09454545454545,9.430000000000001,midnightblue,0.0
70,52.0,49.081323269924596,55.05260869565218,9.419999999999996,midnightblue,0.0
71,71.0,-0.44220728910977414,55.70181818181818,9.398636363636363,midnightblue,0.0
72,210.0,172.8539267266449,56.745,9.389999999999997,midnightblue,0.0
73,345.0,303.4017816770886,57.92590909090909,9.360000000000003,midnightblue,0.0
74,480.0,462.3761519199961,55.7290909090909,9.389999999999997,midnightblue,0.0
75,615.0,593.6242983776995,55.89136363636364,9.400000000000002,midnightblue,0.0
76,750.0,617.7806588097883,56.1968181818182,9.400000000000002,midnightblue,0.0
77,1670.0,1557.94888138872,56.69954545454545,9.42636363636364,midnightblue,0.0
78,2590.0,2430.076046987205,57.06999999999999,9.42857142857143,midnightblue,0.0
79,3510.0,3206.103740729846,57.65181818181818,9.433636363636365,blue,0.0
80,2.1,3.5387867282831564,9.877142857142857,21.75047619047619,blue,0.0
81,2.1,2.3349259033400216,7.728181818181818,23.21772727272728,blue,0.0
82,6.0,9.576269775578105,7.120454545454546,23.39681818181818,blue,0.0
83,29.0,36.368897787612255,6.80095238095238,23.45,blue,0.0
84,52.0,50.34448418821271,6.610909090909092,23.45,blue,0.0
